N,r,sigma,x0,y0,theta0
357.1186734325154,78.46107305005441,0.14835681345176152,80.55603018271307,136.7408107352252,3.740275502668216
356.59092209478166,78.28746583266204,0.15363887318536942,80.44904840720031,136.60088595762983,3.7397080187560703
356.69416511679583,78.16874789136843,0.15838574027444677,80.36975982730175,136.50535587561276,3.740806989342262
358.21946888755895,78.60940890669939,0.15615957973493272,80.56435190501408,136.92063845953626,3.7433303803213858
356.8203928393635,78.39754785666022,0.13596557056938735,80.50063412373869,136.69343978554625,3.74002444160302
355.4863753370338,78.04700210531293,0.1536591298134099,80.3457599872482,136.37026763674854,3.738493161752004
356.3131078171716,78.34816826680964,0.12914819318672716,80.5130298431456,136.6238262276386,3.738761136952782
354.3769163858456,77.80424539537523,0.13988307412379414,80.24383601941537,136.1293942179292,3.7362618556029252
357.69498617687077,78.65192801182698,0.1440213424353831,80.6156849462753,136.9429086435804,3.741339107108117
357.90637110697776,78.58952712165643,0.1653681570217642,80.57596348620834,136.9112806567306,3.7417739568169686
356.6652560186647,78.27449483178827,0.15163644972928117,80.4583410447172,136.56636015968775,3.7399870093206142
356.6499047144521,78.30554106284264,0.148310973643462,80.46681511072894,136.6107137944965,3.7398286703887633
356.68043434719755,78.23434380418503,0.14896496843963514,80.42801099241437,136.55460337486105,3.7396753028798155
356.65378006941495,78.29721249868491,0.1453164967728529,80.50476649797443,136.58974858326602,3.739760556880017
356.6346404203456,78.34398613152875,0.14854250714997608,80.5010591666168,136.64397577317158,3.7393384679735604
356.9364060385321,78.35058917043071,0.15918326504523514,80.4579765265365,136.67999629140405,3.740281367649304
357.0154893470541,78.41917605490025,0.15244663861404847,80.50538571505483,136.73194397559382,3.740555201981227
356.560496065342,78.34592319215066,0.14618339506255743,80.46501103409405,136.64407203762732,3.7403664537016534
357.1598877835655,78.49140261199447,0.14897624253112385,80.58377620268588,136.76162972628262,3.7398949948149602
357.0169082863874,78.38683953042501,0.14709740833535842,80.50218716134893,136.6847637351712,3.740370105598318
355.25194586714827,77.98347907197086,0.14792895573102047,80.33610981906277,136.29454264159412,3.7376951390900537
356.638990570171,78.33662949404827,0.1725629710868372,80.48060669881302,136.63334452209,3.739681661234881
356.64448173299223,78.30194346118759,0.1599850842990002,80.41718364214076,136.64691061695515,3.740281530794559
356.12335393830085,78.24127718406999,0.15153729232098934,80.45402397370633,136.534724543355,3.7384303891026227
355.8975618239718,78.18717825216254,0.14125625290457325,80.42847817045167,136.48214018365366,3.7384892708762165
355.8690884523587,78.14573059448176,0.14048062836804348,80.37086868368449,136.48109496428341,3.738922501902106
356.9181526528551,78.33102091159424,0.15441353694465867,80.46364581644349,136.64045296780208,3.7403348980570987
356.1252196505187,78.33711919959202,0.1283010033313143,80.4880337050506,136.6299869997196,3.739044158951905
357.4296541507262,78.59965225063753,0.14257797632712854,80.57123481578847,136.90251763690432,3.74127377290897
357.31886144686075,78.55776258506495,0.1394512125209183,80.60260525223809,136.8303734187985,3.740670561789641
356.67959767207054,78.23360532383464,0.14202095367992343,80.41301654688303,136.5669080375638,3.739894982740168
356.9126566025207,78.32798085588009,0.1502737642029491,80.46058657023343,136.65228937351765,3.7401781704412262
355.3411611926925,78.0017788851822,0.14580885037989894,80.3185103570969,136.33147026962894,3.73770538120176
357.51901463706923,78.53575013412856,0.1652107523191575,80.58441791086136,136.80797836348475,3.7409430897618194
