N,alpha_1,alpha_2,alpha_3,alpha_5,alpha_6,alpha_7,r,sigma,x0_1,x0_2,x0_3,x0_5,x0_6,x0_7,y0_1,y0_2,y0_3,y0_5,y0_6,y0_7
360.37302,3.7510316,3.7323093,3.750493,3.74257,3.7290924,3.7694328,77.52717,0.35403994,79.37847,81.044174,80.28942,80.95721,83.14875,79.75621,136.77077,135.5184,135.8385,136.20578,136.07791,135.25334
359.41098,3.7338934,3.729374,3.75254,3.8620465,3.6770167,3.6682494,77.15217,0.34543696,79.870186,81.11464,79.94509,72.25389,86.55257,87.06051,135.55968,135.02437,135.54955,132.98582,137.16042,137.46693
356.62872,3.7400413,3.717173,3.7458081,3.8420107,3.6447701,3.7444808,77.42555,0.34120902,79.924805,81.620476,79.94812,72.99217,88.001175,80.54899,136.06831,134.7979,135.79085,133.46379,137.74956,135.35437
359.49915,3.736089,3.708478,3.7571402,3.812191,3.7566054,3.684428,77.57471,0.32526305,80.2837,82.5654,79.65257,75.57281,80.2732,85.565094,135.85931,134.64055,136.04779,134.47475,135.60396,137.32335
360.20013,3.7472878,3.6847243,3.7593493,3.677005,3.6297545,3.705908,77.91872,0.32479307,79.902306,84.48743,79.56415,86.3233,89.6429,84.27331,136.60716,133.67838,136.33339,137.8354,138.63817,137.45879
358.8656,3.7532725,3.8186595,3.750522,3.632641,3.6554449,3.7728844,77.02135,0.33734637,78.907,74.698204,80.01853,89.26154,88.574234,79.54438,136.41156,137.91522,135.43748,137.69975,137.5841,134.3551
360.50928,3.7510555,3.7439911,3.7533703,3.6492088,3.676965,3.738081,77.497406,0.32542562,79.34305,80.33696,79.98928,88.342255,86.2041,82.272484,136.63733,135.5706,135.8653,137.67819,137.36792,136.14473
359.46396,3.7391548,3.7271008,3.753698,3.695568,3.6515453,3.8350525,77.32001,0.31571037,79.99698,81.308655,79.856285,84.05833,88.57954,75.21422,135.84174,134.99635,135.74095,136.63176,137.70853,132.78352
358.3926,3.7322044,3.737435,3.755044,3.61829,3.802627,3.6678786,77.48773,0.3568303,80.29628,80.67068,79.49844,89.83483,77.12189,86.73405,135.63615,135.68352,135.85722,137.9351,134.44199,137.75238
358.32858,3.7312713,3.737075,3.7451134,3.7859719,3.66659,3.7456148,77.26953,0.32346773,80.22154,80.513725,80.234024,77.32205,86.92525,81.16828,135.43588,135.50757,135.59306,134.88991,137.62044,135.68141
358.71313,3.7384892,3.6771638,3.751418,3.8229742,3.7094789,3.7851317,77.29178,0.35213313,79.931625,84.46504,79.97102,74.96939,83.6623,78.31469,135.89226,132.95999,135.69911,134.08806,136.6176,134.42172
361.51447,3.7312105,3.6965687,3.7603607,3.7248087,3.7790887,3.759422,77.55817,0.32907444,80.643616,83.381004,79.627266,82.82229,79.24647,80.82717,135.58624,133.96948,135.94612,136.73042,135.27698,135.55954
358.5467,3.753175,3.759622,3.748728,3.7629988,3.837316,3.6790366,76.9537,0.332469,78.812325,78.91376,80.03988,79.60516,74.451614,86.12856,136.37689,135.67352,135.35287,134.73811,132.67305,136.93369
357.90353,3.7431335,3.7764537,3.746369,3.8237176,3.7659366,3.870359,77.41388,0.34535408,79.717316,77.85256,80.104,74.36288,79.35481,72.2495,136.21404,136.75807,135.78549,133.95573,135.2662,131.21843
358.80978,3.7491324,3.778186,3.745327,3.877016,3.8094335,3.8272386,77.332214,0.34959108,79.30717,77.454285,80.309326,70.864334,76.6597,75.45338,136.43155,136.83362,135.73111,132.68872,133.72035,132.90599
359.28308,3.7346873,3.7439885,3.7506373,3.6305888,3.6543078,3.6711273,77.50341,0.35061973,80.26172,80.36965,80.04216,89.67474,88.304794,86.64629,135.58673,135.7334,135.83041,137.98834,137.82167,137.77087
360.2094,3.7414374,3.761921,3.7599661,3.8664548,3.7883134,3.8360162,77.52292,0.34111,79.96858,79.114174,79.50313,72.112946,78.56454,75.047035,136.10858,136.35652,135.97339,133.23132,134.77753,132.94826
358.3306,3.738867,3.7583046,3.7485867,3.6310267,3.8310633,3.7111862,77.20714,0.31666425,79.75918,78.969406,80.123985,89.38681,74.77742,83.68435,135.82503,136.15047,135.56047,137.64131,133.40953,136.33337
360.0322,3.7450774,3.7295165,3.7513163,3.7731147,3.8605106,3.7319973,77.56984,0.3330583,79.757805,80.90437,80.11164,78.748856,73.47021,82.43657,136.4724,135.22989,136.00072,135.77489,132.5756,136.22173
358.42166,3.7384455,3.7771623,3.7510436,3.6325717,3.6734042,3.6776645,77.4595,0.37877122,79.85661,77.94292,79.856346,89.475876,86.36975,85.907,135.87047,137.03586,135.89415,137.8474,137.84505,137.5334
360.21106,3.7437234,3.7723644,3.7558663,3.7019184,3.6834145,3.7809348,77.34558,0.31852227,79.711655,78.04832,79.80178,84.38088,86.11027,78.97774,136.15096,136.53044,135.7026,136.67833,137.63417,134.68788
359.3037,3.7461832,3.7340097,3.7588444,3.7509813,3.726555,3.6865408,77.488434,0.3301919,79.64694,80.680756,79.50443,80.19056,82.55242,85.4865,136.38936,135.3048,135.85265,135.71361,136.45055,137.30307
358.05966,3.7369845,3.7323265,3.7561462,3.7850518,3.7746964,3.6759877,77.27459,0.33589435,79.787155,80.63018,79.30226,77.72201,78.904724,85.925804,135.71997,135.3277,135.71173,134.73721,134.75395,137.39679
360.4529,3.7368698,3.718564,3.7607641,3.7408085,3.7931576,3.766898,77.72005,0.35084262,80.24371,82.11659,79.53418,81.18019,78.16388,80.10208,135.95874,134.98686,136.1307,136.65445,135.14592,135.6262
359.01874,3.7463107,3.7237425,3.751959,3.80028,3.6313567,3.6275585,77.59036,0.34341568,79.69346,81.5897,79.82082,76.31616,89.73341,89.60092,136.55518,135.0813,135.97939,135.16678,138.46939,138.6976
359.18698,3.7499697,3.7768526,3.7548428,3.7955105,3.8314714,3.7676332,77.36599,0.32787955,79.32622,77.82249,79.78361,76.99117,75.050186,79.36262,136.54065,136.83717,135.75902,134.70967,133.45212,135.23299
359.31213,3.7441614,3.7375433,3.749324,3.6688497,3.7657058,3.7127986,77.15494,0.34992033,79.4982,80.29905,80.10756,86.53121,80.04266,83.53343,136.02141,135.17998,135.59027,137.15361,134.90665,136.40459
357.76025,3.7436957,3.7560751,3.7521338,3.7573988,3.8218431,3.8297393,77.10348,0.3315011,79.426056,79.05798,79.65029,79.60803,75.65441,75.14571,135.93283,136.09723,135.53827,135.40143,133.16139,132.65546
359.21893,3.7380118,3.748598,3.7559888,3.8326247,3.7574382,3.703832,77.50315,0.32681835,80.01717,79.89455,79.65681,74.46026,80.50304,84.17833,136.00029,135.90375,135.85272,134.05444,135.4097,137.13887
359.2067,3.741618,3.769451,3.745854,3.6488128,3.679715,3.7107368,77.635124,0.33287954,79.86043,78.443695,80.3999,87.853294,86.04051,83.652214,136.29291,136.84872,135.88914,138.05818,137.21263,136.83443
360.06226,3.7343733,3.762648,3.7532446,3.7414618,3.6498811,3.745862,77.79413,0.33870533,80.50047,79.00681,80.047455,81.50255,88.44079,81.315056,135.93051,136.59282,136.11664,136.65594,137.99538,136.15486
360.2019,3.7386143,3.7667794,3.757361,3.7733617,3.7396624,3.7160623,77.511894,0.34697023,80.03987,78.59661,79.67483,78.70691,81.73931,83.81134,135.8903,136.66812,135.8948,135.3003,136.57767,136.75572
359.66333,3.7365005,3.765291,3.7550921,3.6710403,3.6919496,3.7030406,77.42853,0.35115126,80.18949,78.812546,79.83671,86.2339,84.87943,84.52359,135.73416,136.3,135.79826,137.5595,137.15862,137.024
360.31497,3.7512002,3.7520444,3.7471287,3.7671525,3.6711197,3.6388302,77.30866,0.37351522,79.15982,79.52577,80.46187,80.02856,87.68268,89.51631,136.5001,136.06007,135.66048,135.71977,137.23792,138.56743
361.7134,3.7351732,3.7003508,3.761246,3.810879,3.871665,3.717647,77.73102,0.32344335,80.476204,83.317955,79.69711,76.24071,72.95862,83.63978,135.97426,134.28603,136.18658,134.86212,133.15306,136.85066
358.6651,3.7370386,3.70857,3.753133,3.6782491,3.8351047,3.6516001,77.35978,0.32585874,80.12991,82.08489,79.71913,85.57733,74.77884,87.78302,135.79214,134.62529,135.76984,137.06622,132.86069,137.95245
358.67355,3.7284572,3.7623837,3.7546966,3.7123995,3.734821,3.7341466,77.25191,0.3369849,80.32349,78.88918,79.55116,83.05101,82.22183,81.93416,135.36603,136.24329,135.65553,136.28053,136.29858,135.90677
