N,r,sigma,x0_0,y0_0,alpha_0,x0_1,y0_1,alpha_1,x0_2,y0_2,alpha_2,x0_3,y0_3,alpha_3,x0_4,y0_4,alpha_4,x0_5,y0_5,alpha_5,x0_6,y0_6,alpha_6,x0_7,y0_7,alpha_7
357.3951992758434,77.92258358849254,0.0834343346183726,80.0971502116312,136.3723753770898,3.7378971174556517,80.10918715953855,136.47356808707437,3.7416882135614986,80.23624350487269,136.2066710237155,3.7425996281327554,79.85286890203835,136.29044317946185,3.7490558699020435,80.50520866468311,136.46987505293558,3.7400646796666233,80.5083138439742,136.48849690348177,3.7419533940011154,80.6150324293243,136.18963904462288,3.746783090629013,80.76976022570446,136.0469641539251,3.7430086311256456
357.3957010173667,77.92043040532282,0.0878129047514982,80.09705933853016,136.37231447247194,3.7378472857506053,80.10801879923048,136.4721552227435,3.7413371225236425,80.23643220068655,136.2069822066762,3.742431516718042,79.85319205050573,136.29088169215623,3.7492113490552366,80.5052900864434,136.4695426075248,3.7400502975263765,80.50844199373843,136.4879397590927,3.7397645911879906,80.61508437679302,136.18951704466693,3.7478085637601315,80.76909129290677,136.04880387740877,3.743103150330577
357.41417719927944,77.90269683516034,0.0917198915761713,80.09037633427057,136.36777729704622,3.7379310361930256,80.0857541953572,136.45397534096935,3.7410901597894335,80.22133060730101,136.17875584148726,3.743535338633957,79.87738037258295,136.26389387318417,3.7487321029525034,80.51032654844954,136.44903278275854,3.7401662013865065,80.51590338597404,136.46267901716615,3.7412158671454296,80.62026455964264,136.1742676184404,3.7468383150866216,80.73724950813957,136.1335257230216,3.743615169350858
357.3950434776892,77.92303693983952,0.09138020775857172,80.09723110234843,136.37243025852325,3.7378984437117375,80.1094576124889,136.4738412918609,3.741266198402749,80.23614318173401,136.20649168266854,3.743772662478454,79.85264251555564,136.29003801534128,3.749237519071389,80.50513545966116,136.47017324144352,3.740064443366217,80.50822758968685,136.48873520104834,3.740596925498397,80.61495410774961,136.1898277616994,3.745740723971155,80.76985011469262,136.0466505000684,3.7438722947330856
357.4137417428721,77.90504188784577,0.09225247536749877,80.09012191472857,136.367605214706,3.7378925904596336,80.08388777765033,136.46064119865179,3.7411921096075433,80.241423554853,136.21589681257214,3.7434928088804553,79.8718356289176,136.26502928670405,3.7485326059898436,80.5106144360878,136.44785861143606,3.7401390954598317,80.51621774565153,136.461619385163,3.741221308910368,80.62132056408525,136.17150240300649,3.7458208340733297,80.75185143654346,136.09438229198574,3.742938741384052
357.3951912382836,77.9230174627419,0.08862610123540762,80.09714784956259,136.37237442025236,3.737855429803948,80.10984479068766,136.47435619431374,3.742050094578793,80.23611084714453,136.20639662969882,3.7430928407428286,79.85289278821287,136.29007663059372,3.74896934804587,80.50521042998824,136.46986697834026,3.7400482462217344,80.508370919573,136.48824609010558,3.7403484817789336,80.61503417814318,136.18963403832765,3.7467862687486435,80.76991346902992,136.04654234827163,3.7422603277148916
357.3951142174841,77.92387317063793,0.08655710608282256,80.09715062797206,136.37237585176987,3.7378847270486895,80.10950801475444,136.47400466836532,3.7409333763441137,80.23612284790143,136.2064779838493,3.742885408863217,79.85282172614227,136.2897726457999,3.74947002541879,80.5052084451642,136.46987569940296,3.740060071588737,80.50832418957286,136.48835656236693,3.7397828780480107,80.61503208785182,136.1896401919482,3.746786580891629,80.76988046599371,136.04660313372295,3.743320407329448
357.39510827784443,77.92255004370102,0.08840098750076482,80.09713074916492,136.37236293730092,3.737847470658242,80.10888841590507,136.47344850656535,3.7411457984377265,80.23644233311191,136.2070696435329,3.7429135749007783,79.85282188064754,136.29040537801188,3.7487217642313473,80.50522580222587,136.46980429444338,3.740047038775006,80.50835713147386,136.4882824518694,3.74048186837553,80.615052443039,136.18954503389267,3.7457502205077913,80.7694944708602,136.04769601158844,3.7433996977290156
357.39514123687076,77.92239406730239,0.08375549531727237,80.09715264037148,136.3723777513871,3.737850300219745,80.10956300272498,136.47396307684525,3.741402885338439,80.23641955250673,136.20696264581113,3.7428248649989353,79.8528007067059,136.29007888375747,3.7493198835782815,80.5052059384837,136.4698852145245,3.740047130532401,80.50830192448508,136.4885003674052,3.741273710057482,80.61503021453073,136.18964570535843,3.7467870847398177,80.76978324185312,136.04686550839125,3.743018061057423
357.3956899097945,77.91749799372947,0.09027214027430476,80.09686080215268,136.37217935111394,3.737871221653425,80.10735344758976,136.47165545035742,3.741040580880551,80.23570700794048,136.20611161167827,3.743674794916605,79.8549856340143,136.29748956211245,3.7492271711330676,80.50546957166547,136.46881184776112,3.7400572630455646,80.5088502252988,136.48657733412352,3.739637295398518,80.61527051061873,136.18894207889696,3.746833631183535,80.76884555906342,136.0498993013468,3.7431625096627603
