N,r,sigma_r,sigma_t,x0_0,y0_0,alpha_0,x0_1,y0_1,alpha_1,x0_2,y0_2,alpha_2,x0_3,y0_3,alpha_3,x0_4,y0_4,alpha_4,x0_5,y0_5,alpha_5,x0_6,y0_6,alpha_6,x0_7,y0_7,alpha_7
357.2693250993136,77.8549657210827,0.026355564884976392,0.11327446789774627,80.01927054106726,136.31951791318073,3.7378806023536097,80.05816075416679,136.39661073175128,3.7404343194998058,80.1886682149377,136.14821295185186,3.742932386538487,79.88711366126451,136.236376392986,3.747940247236343,80.5417063862853,136.3211800998451,3.739674427821004,80.64660945328971,136.42539095958094,3.739248805964056,80.6664572069411,136.10719127551988,3.7460696422566477,82.75434590155547,136.78430170336512,3.715606266828225
357.2676968223733,77.85642111384485,0.023362260152771566,0.10421862020931588,80.01826574862118,136.31883602081595,3.7378755507753647,80.05791347730077,136.3955137650929,3.7401037598703426,80.18484148951688,136.15255753200447,3.743011612277694,79.899790030016,136.238661138599,3.748177511897898,80.54199536756127,136.3200040351663,3.7396948686973976,80.64777733980658,136.4206897069171,3.737848914434303,80.66630605799853,136.10743412037405,3.7460435320581342,82.74983890407489,136.79461985667038,3.7148955208442027
357.26903462914015,77.85390556002828,0.023219906381865704,0.12256664502834859,80.01796511422715,136.31863176845013,3.7378888464618494,80.06466945646771,136.39294501161962,3.7413640264865333,80.19157999923004,136.16331334424737,3.743356003699884,79.92895250490545,136.2231418237595,3.7479595065439457,80.54208264943928,136.3196458893888,3.7396465786348334,80.64755165200155,136.42225333981915,3.739226145346399,80.66722411750733,136.10495433667043,3.7460380827531745,82.75297471656417,136.7891691885599,3.714717426507882
357.39895178055485,77.6886353405634,0.023973737407907533,0.12241631066973632,79.88187751110344,136.2262672465314,3.7378519416436813,79.89420109836625,136.32416410099708,3.742238482921727,79.25225151552932,136.4287471208123,3.7552895393725887,79.90613346067519,136.06151190027313,3.7480254017752976,80.58129844465837,136.15992311123364,3.7400723225830386,80.75467677968949,136.27821765730278,3.737440484385272,80.72247371941006,135.945515893008,3.7454758184254247,82.90786642629196,136.67260970704416,3.71378684987377
357.2843837329934,77.84481865886168,0.022860230958279305,0.11485636230305035,80.01162795940422,136.3143309978044,3.7378649438386202,80.10866273818122,136.32015340511342,3.7392364650132888,80.15326130734977,136.16658634771775,3.7433901495749393,79.9331354948029,136.2228244551111,3.7475091334499893,80.54391011531993,136.31220472016327,3.73970281610615,80.65394219695985,136.3996780843976,3.737676485118746,80.67079788068038,136.09569190041412,3.7461645681861784,82.76378210604759,136.79020068800608,3.714872631151759
357.2716014089669,77.85158581035148,0.025028992146119363,0.11468257929609187,80.0176257201007,136.31840125878315,3.737898855557278,80.07150504439221,136.3876305074845,3.7407268612650983,80.18512919855108,136.15327866366965,3.743134163680602,79.86912118286989,136.23379662497527,3.7488340437435395,80.54218135772122,136.31924392568223,3.7396489090373466,80.6495032511189,136.4171024688851,3.737845316227905,80.66509052908191,136.11107832125725,3.7470632438332063,82.75551654517969,136.78229282219624,3.715660625039355
357.26650383228883,77.84225938688097,0.02450899506404732,0.11384629451485802,80.0073389584993,136.31141935235723,3.737904636284233,80.03653556175547,136.41083556144665,3.741053727297356,80.30281025326329,136.06935659800024,3.7413535183881526,79.89642411295203,136.221638638538,3.7480726583155315,80.54513912595179,136.3071918600083,3.739582561516787,80.66664465409336,136.39973047665399,3.7375723593001178,80.66930518987208,136.09829415362248,3.7470149706656937,82.77315116344028,136.80243078742754,3.7151824272377825
357.270162660694,77.85306061594311,0.02827085111180656,0.1196264823341007,80.0184412881778,136.31895476593442,3.7379011108140734,80.04743811830309,136.39370916606126,3.740905400491782,80.19009608399314,136.15794242188883,3.7431224284086135,79.87599029736657,136.2388490906766,3.748542919132786,80.54194485370157,136.32020545432565,3.7396141505500853,80.64801620906282,136.42108294361282,3.738529035522241,80.66709828245914,136.1053349473126,3.746057475313826,82.75366971202459,136.7845928254148,3.7147581500463978
357.26746951435706,77.85771967804266,0.02400409192079062,0.11100117487547813,80.01892155332933,136.31928087229133,3.7378919823454497,80.05707329339076,136.39853848894515,3.7412407291693373,80.18117221218216,136.14330171800336,3.7433281496683914,79.89905397539692,136.23898207065437,3.7484192693487777,80.54180596024862,136.3207723797814,3.7396353533329605,80.64666186427522,136.42451412569167,3.7392245498070023,80.66597491324062,136.10844250746268,3.746022846524786,82.74911674139662,136.79517310605996,3.7154799249249058
357.2675946189181,77.85577642675753,0.02780641714075366,0.11055361094514267,80.0181446708238,136.31875373784013,3.7378823352230492,80.05884830784335,136.3995470877452,3.741393468118635,80.18341825171305,136.15316224579487,3.7435623709775623,79.8968140294412,136.2368817973049,3.747797037470439,80.54202989434286,136.31986207844113,3.7396705374021866,80.64651187583452,136.42492793905635,3.7379608214046995,80.66636448462314,136.10725418969406,3.746021905267046,82.75150221636449,136.79066699987317,3.714744539887047
357.26804096527707,77.85254902222795,0.0263860438366426,0.10996211444629495,80.017429959932,136.31826845981317,3.737894628453897,80.0549279425218,136.39003493385366,3.740066042320607,80.19012177635906,136.1664631668852,3.7431230545972087,79.89947724715405,136.23391612396668,3.7480848369754107,80.54223559095432,136.3190213892123,3.739618883017386,80.64583485081867,136.42715207723023,3.7393219893205845,80.66711055606181,136.1051055829676,3.7460432761524323,82.75170309062528,136.7888822694587,3.7152039931394634
357.2704964408524,77.85546658921928,0.02375579553747085,0.13325492870375502,80.01990087003578,136.31994534724728,3.737897433788872,80.04626220154837,136.4170073940051,3.741285746690838,80.18751005885014,136.15733224297082,3.74302756915843,79.91829617075788,136.2343565916527,3.7476475170565755,80.54152437230793,136.32191707190975,3.7395904677312015,80.65321851168994,136.40208735489477,3.7376493791165695,80.66885540808165,136.09999589045887,3.744971712809927,82.75172745581561,136.79094779474883,3.7149837728160304
